"AOSNUMBER","NEWAOSNUMBER (ORI9)","City","County","State","Agency","Type of LEA","Summary","Type of Juris","Technology","TECH ABV","Vendor","Link 1","Link 1 Snapshot","Link 1 Source","Link 1 Type","Link 1 Date","Link 2","Link 2 Snapshot","Link 2 Source","Link 2 Type","Link 2 Date","Link 3","Link 3 Snapshot","Link 3 Source","Link 3 Type","Link 3 Date","Other Links"
"AOS011163","TX1780300ALPR","Robstown","Nueces County","TX","Robstown Police Department","Police","The Texas Motor Vehicle Crime Prevention Authority gave the Robstown Police Department a grant to purchase automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","","","","","","",""
"AOS011164","TX0040200ALPR","Rockport","Aransas County","TX","Rockport Police Department","Police","As of April 2024, the Rockport Police Department operates six Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/rockport-tx-pd-","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011165","TX0750300ALPR","Schulenburg","Fayette County","TX","Schulenburg Police Department","Police","The Texas Motor Vehicle Crime Prevention Authority gave the Schulenburg Police Department a grant to purchase automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","","","","","","",""
"AOS011166","TX1011700ALPR","Seabrook","Harris County","TX","Seabrook Police Department","Police","The Texas Motor Vehicle Crime Prevention Authority gave the Seabrook Police Department a grant to purchase automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","","","","","","",""
"AOS011167","TX0140700ALPR","Temple","Bell County","TX","Temple Police Department","Police","The Texas Motor Vehicle Crime Prevention Authority gave the Temple Police Department a grant to purchase automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","","","","","","",""
"AOS011169","TX1012300ALPR","Tomball","Harris County","TX","Tomball Police Department","Police","The Texas Motor Vehicle Crime Prevention Authority gave the Tomball Police Department a grant to purchase automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","","","","","","",""
"AOS011170","TX2370000ALPR","Hempstead","Waller County","TX","Waller County Sheriff’s Office","Sheriff","The Texas Motor Vehicle Crime Prevention Authority gave the Waller County Sheriff’s Office a grant to purchase automated license plate readers in 2022.","County","Automated License Plate Readers","","","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Motor Vehicle Crime Prevention Authority","","6/9/2022","","","","","","","","","","",""
"AOS011172","TX2202900ALPR","White Settlement","Tarrant County","TX","White Settlement Police Department","Police","The White Settlement Police Department uses Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.facebook.com/photo.php?fbid=549983147159853&set=pb.100064445181513.-2207520000.&type=3","","White Settlement Police Department","","1/14/2023","https://www.fox4news.com/news/white-settlement-adds-more-flock-cameras-to-expand-surveillance-program","","Fox 4 KDFW","","8/19/2022","https://www.txdmv.gov/sites/default/files/body-files/06_09_22-Motor-Vehicle-Crime-Grant-Awards-Press-Release.pdf","","Texas Department of Motor Vehicles","","6/9/2022",""
"AOS011174","CA0120000ALPR","Eureka","Humboldt County","CA","Humboldt County Sheriff's Department","Sheriff","The Humboldt County Sheriff's Office began using automated license plate readers in January 2022.","County","Automated License Plate Readers","","Flock Safety","https://www.MuckRock.com/foi/humboldt-county-3039/automated-license-plate-readers-humboldt-county-sheriffs-office-136085/","","Humboldt County Sheriff","","11/21/2022","https://lostcoastoutpost.com/2024/apr/10/yesterday-supes-board-narrowly-approves-sign-ordin/","","Lost Coast Outpost","","4/102/2024","","","","","",""
"AOS011176","IL0560700ALPR","Huntley","McHenry County","IL","Huntley Police Department","Police","The Huntley Police Department installed 17 Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.shawlocal.com/northwest-herald/news/2023/04/15/license-plate-readers-body-cameras-coming-to-huntley/","","Shaw Local News","","4/15/2023","","","","","","","","","","",""
"AOS011177","FL0531200ALPR","Lakeland","Polk County","FL","Lakeland Police Department","Police","The Lakeland Police Department purchased 165 mobile automated license plate reader systems, but had only installed 120 as of February 2023.","Municipal","Automated License Plate Readers","","Axon","https://www.theledger.com/story/news/crime/2023/02/03/lakeland-police-say-250000-license-plates-were-scanned-in-2-weeks/69870158007/","","The Ledger","","2/3/2023","","","","","","","","","","",""
"AOS011180","VA1170000ALPR","Norfolk","","VA","Norfolk Police Department","Police","The Norfolk Police Department installed 172 Flock Safety automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wtkr.com/news/hampton-roads-law-enforcement-seeing-results-from-flock-safety-cameras","","WTKR","","5/25/2023","","","","","","","","","","",""
"AOS011182","IL0991300ALPR","Romeoville","Will County","IL","Romeoville Police Department","Police","The Remeoville Police Department has installed Flock Safety automated license plate readers at various intersections and as of February 2023 planned to expand the program.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.romeoville.org/ArchiveCenter/ViewFile/Item/815","","Romeoville Police Department","","2/3/2023","","","","","","","","","","",""
"AOS011185","RI0041400ALPR","Glocester","Providence County","RI","Glocester Police Department","Police","The Glocester Police Department uses Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wpri.com/target-12/controversial-flock-cameras-are-spreading-across-ri-spurring-calls-for-more-guardrails/","","WPRI.com","","5/16/2023","","","","","","","","","","",""
"AOS011186","RI0041100ALPR","Smithfield","Providence County","RI","Smithfield Police Department","Police","As of April 2024, the Smithfield Police Department operates two Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/smithfield-ri-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011187","MI7578000ALPR","Three Rivers","St. Joseph County","MI","Three Rivers Police Department","Police","The Three Rivers Police Department received approval to install six Flock Safety automated license plate readers in February 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://wilcoxnewspapers.com/city-approves-grant-funding-for-license-plate-camera-system/","","Wilcox Newspapers","","2/24/2023","","","","","","","","","","",""
"AOS011188","UT0230100ALPR","Tooele","Tooele County","UT","Tooele Police Department","Police","The Tooele Police Department began using Flock Safety automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.fox13now.com/news/local-news/tooele-police-utilizing-flock-safety-cameras-to-help-curb-crime","","Fox 13","","10/6/2022","","","","","","","","","","",""
"AOS011189","CA0290800ALPR","Truckee","Nevada County","CA","Truckee Police Department","Police","As of April 2024, the Truckee Police Department operates 23 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/truckee-ca-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011190","KY1200100ALPR","Versailles","Woodford County","KY","Versailles Police Department","Police","The Versailles Police Department installed 18 Flock Safety automated license plate readers in early 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.keyc.com/video/2023/02/06/watch-other-central-kentucky-cities-adopting-flock-camera-program/","","KEWC","","2/6/2023","https://www.wtvq.com/versailles-installs-flock-cameras-police-credit-them-for-crimes-solved/","","WTVC","","2/7/2023","","","","","",""
"AOS011192","IN0870000ALPR","Boonville","Warrick County","IN","Warrick County Sheriff's Office","Sheriff","As of April 2024, the Warrick County Sheriff's Office operates 12 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","County","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/warrick-co-in-so","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011193","RI0020300ALPR","Warwick","Kent County","RI","Warwick Police Department","Police","As of April 2024, the Warwick Police Department operates 10 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/warwick-ri-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011195","CA0440300ALPR","Watsonville","Santa Cruz County","CA","Watsonville Police Department","Police","As of April 2024, the Watsonville Police Department operates 20 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/watsonville-ca-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011196","VA1300000ALPR","Williamsburg","","VA","Williamsburg Police Department","Police","The Williamsburg Police Department had installed 23 Flock Safety automated license plate readers as of April 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.dailypress.com/virginiagazette/va-vg-williamsburg-pd-flocksafety-cameras-20230405-ffm7luns4bb7dk33idaktmavhq-story.html","","Virginia Gazette","","4/5/2023","","","","","","","","","","",""
"AOS011197","OH0431400ALPR","Willowick","Lake County","OH","Willowick Police Department","Police","The Willowick Police Department installed three Flock Safety automated license plate readers in October 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.yahoo.com/entertainment/flock-safety-cameras-live-willowick-150400731.html","","Yahoo News","","10/29/2022","","","","","","","","","","",""
"AOS011198","XX0000558ALPR","East Bay","Grand Traverse County","MI","East Bay Police Department","Police","The East Bay Police Department received approval to install seven Flock Safety automated license plate readers in March 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.govtech.com/public-safety/east-bay-mich-buys-license-plate-cameras","","The Record-Eagle","","3/14/2023","","","","","","","","","","",""
"AOS011199","XX0000557ALPR","Garfield","Grand Traverse County","MI","Garfield Police Department","Police","The Garfield Police Department has installed 14 Flock Safety automated license plate readers as of March 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.govtech.com/public-safety/east-bay-mich-buys-license-plate-cameras","","The Record-Eagle","","3/14/2023","","","","","","","","","","",""
"AOS011200","XX0000556ALPR","Peninsula","Grand Traverse County","MI","Peninsula Police Department","Police","The Peninsula Police Department had installed six Flock Safety automated license plate readers as of March 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.govtech.com/public-safety/east-bay-mich-buys-license-plate-cameras","","The Record-Eagle","","3/14/2023","","","","","","","","","","",""
"AOS011201","IN0300100ALPR","Greenfield","Hancock County","IN","Greenfield Police Department","Police","As of April 2024, the Greenfield Police Department operates 13 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/greenfield-in-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011204","IN0060300ALPR","Zionsville","DeKalb County","IN","Zionsville Police Department","Police","The Zionsville Police Department uses Flock Safety atuomated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.indystar.com/story/news/2021/12/27/plainfield-police-other-agencies-using-flock-safety-license-plate-readers/8926472002/","","Indy Star","","12/27/2021","","","","","","","","","","",""
"AOS011205","IN0790300ALPR","West Lafayette","Tippecanoe County","IN","Purdue University Police Department","Police","The Purdue University Police Department installed six automated license plate readers on campus in 2022.","University","Automated License Plate Readers","","","https://www.jconline.com/story/news/crime/2022/05/31/license-plate-reading-cameras-coming-west-lafayette-purdue-university-indiana/7452774001/","","Journal and Courier","","5/31/2022","https://www.purdue.edu/newsroom/releases/2022/Q2/purdue-university-police-installing-license-plate-reading-cameras-to-help-solve-crime.html","","Purdue University","","5/31/2022","https://www.purdueexponent.org/campus/article_219ff996-e0f3-11ec-9e2a-0bef4b117237.html","","The Purdue Exponent","","5/31/2022",""
"AOS011206","IN0790200ALPR","West Lafayette","Tippecanoe County","IN","West Lafayette Police Department","Police","As of April 2024, the West Lafayette Police Department operates three Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/west-lafayette-in-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011208","OH0091800ALPR","Fairfield","Butler County","OH","Fairfield Police Department","Police","As of April 2024, the Fairfield Police Department operates 44 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/fairfield-oh-pd","","Flock Safety","","","https://www.journal-news.com/news/west-chester-police-latest-to-add-license-plate-reader-cameras/JYYTBXHORRA3LKLVFDMM4NSJLY/","","Journal News","","12/5/2022","https://www.fairfieldtwp.org/media/meetings-and-minutes/22-99(1).pdf","","Fairfield Township","","7/6/2022",""
"AOS011211","NC0950300ALPR","Boone","Watauga County","NC","Appalachian State University Police Department","Police","As of April 2024, the Appalachian State University Police Department operates three Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","University","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/app-state-university-nc-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011215","NY0595000ALPR","Bedford","Westchester County","NY","Bedford Police Department","Police","The Bedford Police Department has been using automated license plate readers since at least January 2020.","Municipal","Automated License Plate Readers","","Viligant Solutions","http://bedfordny.iqm2.com/Citizens/Detail_LegiFile.aspx?ID=2533&highlightTerms=vigilant","","Town of Bedford","","01/17/2020","","","","","","","","","","",""
"AOS011225","PA0280100ALPR","Chambersburg","Franklin County","PA","Chambersburg Police Department","Police","The Chambersburg Police Department has been using automated license plate readers since 2016.","Municipal","Automated License Plate Readers","","","https://www.publicopiniononline.com/story/news/local/2016/07/12/security-taken-seriously-chambersburg/86983262/","","Chambersburg Public Opinion","","7/12/2016","","","","","","","","","","",""
"AOS011231","NY0500100ALPR","Corning","Steuben County","NY","Corning City Police Department","Police","The Corning City Police Department has been using automated license plate readers since at least 2022.","Municipal","Automated License Plate Readers","","","https://www.mytwintiers.com/news-cat/your-local-election-hq/corning-police-chief-runs-for-county-coroner/","","WETM 18 News","","02/15/22","https://www.cityofcorning.com/vertical/sites/%7BBE0E976C-81B9-4F4C-8763-A90E76CF4D33%7D/uploads/Status_of_the_Administration_2023.pdf","","Corning City Police Department","","02/06/23","","","","","",""
"AOS011241","IL0150200ALPR","Charleston","Coles County","IL","Charleston Police Department","Police","The Charleston Police Department uses Flock safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://jg-tc.com/news/local/govt-and-politics/mattoon-police-department-to-get-license-plate-recognition-cameras/article_f47c0d74-c8d2-11ed-b19b-837c866e8dbe.html","","JG-TC","","3/22/2023","","","","","","","","","","",""
"AOS011242","IL0150000ALPR","Charleston","Coles County","IL","Coles County Sheriff's Office","Sheriff","The Coles County Sheriff's Office has installed automated license plate readers.","County","Automated License Plate Readers","","","https://jg-tc.com/news/local/govt-and-politics/mattoon-police-department-to-get-license-plate-recognition-cameras/article_f47c0d74-c8d2-11ed-b19b-837c866e8dbe.html","","JG-TC","","3/22/2023","","","","","","","","","","",""
"AOS011243","IL0150300ALPR","Mattoon","Coles County","IL","Mattoon Police Department","Police","The Mattoon Police Department received approval to install 12 Flock Safety automatedl icense plate readers in March 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://jg-tc.com/news/local/govt-and-politics/mattoon-police-department-to-get-license-plate-recognition-cameras/article_f47c0d74-c8d2-11ed-b19b-837c866e8dbe.html","","JG-TC","","3/22/2023","","","","","","","","","","",""
"AOS011244","IL0150400ALPR","Oakland","Coles County","IL","Oakland Police Department","Police","The Oakland Police Department has installed automated license plate readers.","Municipal","Automated License Plate Readers","","","https://jg-tc.com/news/local/govt-and-politics/mattoon-police-department-to-get-license-plate-recognition-cameras/article_f47c0d74-c8d2-11ed-b19b-837c866e8dbe.html","","JG-TC","","3/22/2023","","","","","","","","","","",""
"AOS011245","FL0360000ALPR","Villas","Lee County","FL","Lee County Sheriff's Office","Sheriff","The Lee County Sheriff's Office uses Flock Safety automated license plate readers.","County","Automated License Plate Readers","","Flock Safety","https://www.gulfcoastnewsnow.com/article/flock-safety-license-plate-reader-rules-misuse/73434623","","Gulf Coast News","","8/14/2026","https://www.fortmyersbeachtalk.com/2022/02/15/federal-lawsuit-filed-against-marco-island-bridge-cameras/","","Fort Myers Beach Talk","","2/15/2022","","","","","",""
"AOS011246","FL0110300ALPR","Marco Island","Collier County","FL","Marco Island Police Department","Police","The Marco Island Police Department uses automated license plate readers.","Municipal","Automated License Plate Readers","","","https://www.fortmyersbeachtalk.com/2022/02/15/federal-lawsuit-filed-against-marco-island-bridge-cameras/","","Fort Myers Beach Talk","","2/15/2022","","","","","","","","","","",""
"AOS011251","NY0050000ALPR","Cayuga County","Cayuga County","NY","Cayuga County Sheriff's Office","Sheriff","The Cayuga County Sheriff's Office has been using automated license plate readers since 2014.","County","Automated License Plate Readers","","","https://www.leonardocompany-us.com/lpr/blog/interview-with-the-cayuga-county-sheriffs-office","","Leonardo","","01/30/2019","","","","","","","","","","",""
"AOS011254","KS1050100ALPR","Bonner Springs","Wyandotte County","KS","Bonner Springs Police Department","Police","The Bonner Springs Police Department has been used automated license plate readers since at least 2021.","Municipal","Automated License Plate Readers","","ELSAG","https://www.bonnersprings.org/AgendaCenter/ViewFile/Item/2514?fileID=5661","","Bonner Springs","","5/20/2021","","","","","","","","","","",""
"AOS011259","NY0592100ALPR","Croton-on-Hudson","Westchester County","NY","Croton-on-Hudson Police Department","Police","The Croton-on-Hudson Police Department has been using automatic license plate readers since at least 2022.","Municipal","Automated License Plate Readers","","Rekor","https://play.champds.com/ATT/crotononhudsonny/2022-06/590d7396d5403d0e2e753217e4d828e7f78dbce7.pdf","","Rekor","","6/2022","https://play.champds.com/crotononhudsonny/event/781","","Village of Croton-on-Hudson","","7/5/2022","","","","","",""
"AOS011304","WI0050200ALPR","Green Bay","Brown County","WI","Green Bay Police Department","Police","As of April 2024, the Green Bay Police Department operates 43 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/green-bay-wi-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011307","XX0000609ALPR","Bloomington","Monroe County","IN","Indiana University Office of Parking Operations","Parking Enforcement","The Indiana University Office of Parking Operations has been using automated license plate readers since 2019.","University","Automated License Plate Readers","","","https://www.wfyi.org/news/articles/indiana-university-testing-license-plate-cameras-for-parking","","WFYI Indianapolis","","12/30/2019","","","","","","","","","","",""
"AOS011310","KS0872100ALPR","Kechi","Sedgwick County","KS","Kechi Police Department","Police","The Kechi Police Department has access to the Wichita Police Department's Flock Safety automated license plate reader system.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.kansas.com/news/politics-government/article268186392.html","","The Wichita Eagle","","11/7/2022","https://www.kake.com/story/48674832/former-kechi-police-lt-gets-probation-for-using-license-plate-reader-tech-to-track-estranged-wife","","KAKE","","4/5/2023","https://www.kake.com/story/47634229/how-a-former-police-officer-used-a-security-system-to-stalk-his-wife","","KAKE","","11/4/2022",""
"AOS011311","TN0750300ALPR","La Vergne","Rutherford County","TN","La Vergne Police Department","Police","The La Vergne Police Department has been using automated license plate readers since at least 2022.","Municipal","Automated License Plate Readers","","","https://fox17.com/news/local/la-vergne-police-seeing-results-with-license-plate-readers-plan-to-expand-program-crime-alert-tennessee","","FOX 17 WZTV Nashville","","2/10/2022","","","","","","","","","","",""
"AOS011312","LA0280300ALPR","Lafayette","Lafayette Parish","LA","Lafayette Police Department","Police","As of April 2024, the Lafayette Police Department operates Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/lafayette-la-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011328","IL0164A00ALPR","Skokie","Cook County","IL","Skokie Police Department","Police","The Skokie Police Department began using Flock Safety automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.muckrock.com/foi/skokie-10980/foia-skokie-illinois-pd-flock-safety-documents-oct-2022-136164/","","MuckRock","","11/1/2022","","","","","","","","","","",""
"AOS011329","TN0600300ALPR","Spring Hill","Maury County","TN","Spring Hill Police Department","Police","The Spring Hill Police Department began testing Flock Safety automated license plate readers in 2021.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.williamsonhomepage.com/spring_hill/spring-hill-to-set-up-street-cameras-as-part-of-pilot-program/article_8de7690e-103d-11ec-96c5-0fb321678f4d.html","","The NEWS","","9/7/2021","","","","","","","","","","",""
"AOS011330","XX0000823ALPR","Thousand Oaks","Ventura County","CA","Thousand Oaks Police Department","Police","The Thousand Oaks Police Department has been using automated license plate readers since 2017 and expanded the program in late 2021/early 2022.","Municipal","Automated License Plate Readers","","Vigilant Solutions","https://www.citizensjournal.us/to-city-council-green-lights-underground-power-lines-and-automated-license-plate-readers/","","Citizens Journal","","12/17/2021","https://conejoguardian.org/2022/01/19/automatic-license-plate-readers-multiply-in-thousand-oaks/","","The Conejo Guardian","","1/19/2022","","","","","",""
"AOS011331","WI0180200ALPR","Altoona","Eau Claire County","WI","Altoona Police Department","Police","As of April 2024, the Altoona Police Department operates 11 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/altoona-wi-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011332","OH0470100ALPR","Amherst","Lorain County","OH","Amherst Police Department","Police","As of April 2024, the Amherst Police Department operates 12 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/amherst-oh-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011333","IL0990300ALPR","Braidwood","Will County","IL","Braidwood Police Department","Police","The Braidwood Police Department received funding in January 2023 for four Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wjol.com/glasgow-joins-reed-custer-district-255-in-donating-10000-to-braidwood-for-flock-safety-cameras-in-countywide-safety-initiative/","","WJOL","","1/26/2023","","","","","","","","","","",""
"AOS011334","MO0950900ALPR","Brentwood","St. Louis County","MO","Brentwood Police Department","Police","The Brentwood Police Department installed five Flock Safety automated license plate readers in October 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.ksdk.com/article/news/crime/five-license-plate-reading-cameras-installed-in-brentwood-missouri/63-7a95e08f-7e2d-4bd5-b144-e695a72b3010","","KSDK","","10/17/2022","","","","","","","","","","",""
"AOS011335","OH0500400ALPR","Canfield","Mahoning County","OH","Canfield Police Department","Police","The Canfield Police Department installed 14 Flock Safety automated license plate readers in early 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.vindy.com/news/local-news/2023/02/focus-on-license-plate-readers-flock-debate-rages/","","The Vindicator","","2/5/2023","","","","","","","","","","",""
"AOS011336","TX2460900ALPR","Cedar Park","Williamson County","TX","Cedar Park Police Department","Police","The Cedar Park Police Department received approval in December 2022 to purchase Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.kvue.com/article/news/local/cedar-park-city-council-approves-license-plate-readers/269-e513d904-30d5-4cd1-ad53-2f32c79ad51f","","KVUE","","12/15/2022","","","","","","","","","","",""
"AOS011337","WA0210100ALPR","Centralia","Lewis County","WA","Centralia Police Department","Police","As of April 2024, the Centralia Police Department operates 20 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/centralia-pd-wa","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
"AOS011339","IL0991800ALPR","Channahon","Will County","IL","Channahon Police Department","Police","The Channhon Police Departemnt received funding to purchase two Flock Safety automated license plate readers in 2022.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wjol.com/glasgow-donates-5000-to-channahon-for-flock-safety-cameras/","","WJOL","","11/23/2022","","","","","","","","","","",""
"AOS011340","IN0100200ALPR","Clarksville","Clark County","IN","Clarksville Police Department","Police","The Clarksville Police Department use Flock Safety automated license plate readers.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wdrb.com/news/clarksville-police-seeing-results-with-specialized-safety-cameras/article_ed9bdd88-a400-11ec-8f17-071c5a1ee9b7.html","","WDRB","","3/14/2022","","","","","","","","","","",""
"AOS011342","TN0820200ALPR","Kingsport","Sullivan County","TN","Kingsport Police Department","Police","The Kingsport Police Department began using Flock Safety automated license plate readers in 2023.","Municipal","Automated License Plate Readers","","Flock Safety","https://www.wjhl.com/news/local/kingsport-police-installs-safety-cameras-that-identify-vehicles-in-real-time/","","WCHL","","4/25/2023","","","","","","","","","","",""
"AOS011343","CO0070600ALPR","Louisville","Boulder County","CO","Louisville Police Department","Police","As of April 2024, the Louisville Police Department operates 20 Flock Safety automated license plate readers. The agency stores ALPR data for 30 days.","Municipal","Automated License Plate Readers","","Flock Safety","https://transparency.flocksafety.com/louisville-co-pd","","Flock Safety","","","https://github.com/mcclatchy-southeast/private_eyes","","The News & Observer","","5/1/2024","https://www.newsobserver.com/news/state/north-carolina/article286920890.html","","The News & Observer","","5/1/2024",""
